file;gross;net;VAT;VAT (calc);calc_type
bamberg-cunda.txt;12;10,08;1,92;1,9152;ROUND
bamberg-karstadt-debit.txt;80,93;68,01;12,92;12,9219;INDET
bamberg-karstadt-gutschein-debit.txt;38,04;31,97;6,07;6,0743;INDET
bamberg-karstadt.txt;16,99;14,28;2,71;2,7132;INDET
bs-c-und-a-muenzstr-debit.txt;4,800000000000001;4,03;0,77;0,7657;ROUND
bs-elbenwald.txt;10;8,4;1,6;1,596;ROUND
bs-liebeskuh-debit.txt;16,5;13,87;2,63;2,6353;FLOOR
bs-peek-cloppenburg-debit.txt;24,990000000000002;21;3,99;3,99;INDET
bs-rossmann-berliner-platz-cash.txt;0,94;0,79;0,15;0,1501;INDET
bs-triple-s-cash.txt;58,699999999999996;49,33;9,37;9,3727;INDET
bs-zara-debit.txt;64,93;54,57;10,36;10,3683;FLOOR
coe-ernstings-family-debit.txt;29,98;25,2;4,78;4,788;FLOOR
dbahn-bistro.txt;6,4;5,38;1,02;1,0222;INDET
dransfeld-raiffeisen-markt-debit.txt;17,54;14,74;2,8;2,8006;INDET
eck-la-taverna.txt;27,6;23,19;4,41;4,4061;ROUND
eck-the-cave.txt;11,8;9,92;1,88;1,8848;INDET
gf-penny-lehmweg-cash.txt;17,49;14,7;2,79;2,7929999999999997;INDET
gf-toom-cash.txt;2,69;2,26;0,43;0,42939999999999995;ROUND
goe-bonita-kaufpark-debit.txt;119,98;100,82;19,16;19,1558;ROUND
goe-deichmann-otto-brenner-str-debit.txt;19,9;16,72;3,18;3,1767999999999996;ROUND
goe-goertz-debit.txt;81,91;68,83;13,08;13,0777;ROUND
goe-goertz.txt;80,9;67,98;12,92;12,916200000000002;ROUND
hannover-central-hotel-kaiserhof-gastro.txt;28,6;24,03;4,57;4,5657000000000005;ROUND
hannover-dinea-cash.txt;11,1;9,33;1,77;1,7727;INDET
hannover-elbenwald-cash.txt;11,4;9,58;1,82;1,8202;INDET
hannover-galeria-kaufhof-seilwinderstr-cash.txt;6,79;5,71;1,08;1,0849;INDET
hannover-goertz-debit.txt;16,95;14,24;2,71;2,7056;ROUND
hi-galeria-kaufhof-debit.txt;152,89;128,48;24,41;24,411199999999997;INDET
hmue-stoff-und-stoeffchen-cash.txt;9,45;7,94;1,51;1,5086000000000002;ROUND
hog-tierpark-sababurg-cash.txt;10,7;8,99;1,71;1,7081;ROUND
hog-tierpark-sababurg-long-cash.txt;43,4;36,47;6,93;6,9293;ROUND
messe-manga-mafia-cash.txt;25;21,01;3,99;3,9919000000000002;INDET
unknown-tode.txt;44,849999999999994;37,69;7,16;7,161099999999999;INDET
wf-apotheke.txt;27,87;23,42;4,45;4,449800000000001;ROUND
wf-edeka-neuer-weg-3-cash.txt;1,77;1,49;0,28;0,2831;INDET
wf-klier.txt;19;15,97;3,03;3,0343;INDET
wob-altes-brauhaus-zu-fallersleben-debit.txt;19,8;16,64;3,16;3,1616;INDET
wob-daenisches-bettenlager-bar.txt;2,99;2,51;0,48;0,4769;ROUND
wob-daenisches-bettenlager.txt;294,54;247,51;47,03;47,0269;ROUND
wob-globus-cash.txt;3,95;3,32;0,63;0,6308;INDET
wob-puma-outlet-debit.txt;80;67,23;12,77;12,773700000000002;INDET
